№ указу,Дата указу,Посилання
563/2026,30.06.2026,https://www.president.gov.ua/documents/5632026-60193
564/2026,30.06.2026,https://www.president.gov.ua/documents/5642026-60221
566/2026,30.06.2026,https://www.president.gov.ua/documents/5662026-60277
568/2026,30.06.2026,https://www.president.gov.ua/documents/5682026-60189
562/2026,29.06.2026,https://www.president.gov.ua/documents/5622026-60185
539/2026,27.06.2026,https://www.president.gov.ua/documents/5392026-60173
540/2026,27.06.2026,https://www.president.gov.ua/documents/5402026-60165
541/2026,27.06.2026,https://www.president.gov.ua/documents/5412026-60177
531/2026,26.06.2026,https://www.president.gov.ua/documents/5312026-60161
532/2026,26.06.2026,https://www.president.gov.ua/documents/5322026-60169
533/2026,26.06.2026,https://www.president.gov.ua/documents/5332026-60157
510/2026,23.06.2026,https://www.president.gov.ua/documents/5102026-60117
484/2026,10.06.2026,https://www.president.gov.ua/documents/4842026-59849
482/2026,05.06.2026,https://www.president.gov.ua/documents/4822026-59825
480/2026,04.06.2026,https://www.president.gov.ua/documents/4802026-59817
471/2026,03.06.2026,https://www.president.gov.ua/documents/4712026-59769
478/2026,03.06.2026,https://www.president.gov.ua/documents/4782026-59805
479/2026,03.06.2026,https://www.president.gov.ua/documents/4792026-59809
442/2026,27.05.2026,https://www.president.gov.ua/documents/4422026-59657
428/2026,25.05.2026,https://www.president.gov.ua/documents/4282026-59625
425/2026,21.05.2026,https://www.president.gov.ua/documents/4252026-59605
413/2026,20.05.2026,https://www.president.gov.ua/documents/4132026-59569
414/2026,20.05.2026,https://www.president.gov.ua/documents/4142026-59593
380/2026,14.05.2026,https://www.president.gov.ua/documents/3802026-59429
366/2026,05.05.2026,https://www.president.gov.ua/documents/3662026-59333
367/2026,05.05.2026,https://www.president.gov.ua/documents/3672026-59373
357/2026,01.05.2026,https://www.president.gov.ua/documents/3572026-59325
354/2026,30.04.2026,https://www.president.gov.ua/documents/3542026-59313
355/2026,30.04.2026,https://www.president.gov.ua/documents/3552026-59317
356/2026,30.04.2026,https://www.president.gov.ua/documents/3562026-59321
349/2026,29.04.2026,https://www.president.gov.ua/documents/3492026-59305
345/2026,27.04.2026,https://www.president.gov.ua/documents/3452026-59273
346/2026,27.04.2026,https://www.president.gov.ua/documents/3462026-59277
341/2026,26.04.2026,https://www.president.gov.ua/documents/3412026-59265
328/2026,22.04.2026,https://www.president.gov.ua/documents/3282026-59261
317/2026,13.04.2026,https://www.president.gov.ua/documents/3172026-59161
318/2026,13.04.2026,https://www.president.gov.ua/documents/3182026-59165
306/2026,10.04.2026,https://www.president.gov.ua/documents/3062026-59169
299/2026,06.04.2026,https://www.president.gov.ua/documents/2992026-59101
289/2026,01.04.2026,https://www.president.gov.ua/documents/2892026-59053
286/2026,30.03.2026,https://www.president.gov.ua/documents/2862026-59029
276/2026,26.03.2026,https://www.president.gov.ua/documents/2762026-58989
258/2026,24.03.2026,https://www.president.gov.ua/documents/2582026-58965
262/2026,24.03.2026,https://www.president.gov.ua/documents/2622026-58901
250/2026,20.03.2026,https://www.president.gov.ua/documents/2502026-58893
251/2026,20.03.2026,https://www.president.gov.ua/documents/2512026-58881
237/2026,14.03.2026,https://www.president.gov.ua/documents/2372026-58821
238/2026,14.03.2026,https://www.president.gov.ua/documents/2382026-58825
236/2026,12.03.2026,https://www.president.gov.ua/documents/2362026-58817
234/2026,10.03.2026,https://www.president.gov.ua/documents/2342026-58805
221/2026,05.03.2026,https://www.president.gov.ua/documents/2212026-58765
224/2026,05.03.2026,https://www.president.gov.ua/documents/2242026-58749
225/2026,05.03.2026,https://www.president.gov.ua/documents/2252026-58753
218/2026,04.03.2026,https://www.president.gov.ua/documents/2182026-58745
207/2026,26.02.2026,https://www.president.gov.ua/documents/2072026-58657
208/2026,26.02.2026,https://www.president.gov.ua/documents/2082026-58681
201/2026,25.02.2026,https://www.president.gov.ua/documents/2012026-58629
136/2026,24.02.2026,https://www.president.gov.ua/documents/1362026-58373
137/2026,24.02.2026,https://www.president.gov.ua/documents/1372026-58377
145/2026,24.02.2026,https://www.president.gov.ua/documents/1452026-58405
147/2026,24.02.2026,https://www.president.gov.ua/documents/1472026-58409
148/2026,24.02.2026,https://www.president.gov.ua/documents/1482026-58413
132/2026,23.02.2026,https://www.president.gov.ua/documents/1322026-58545
134/2026,23.02.2026,https://www.president.gov.ua/documents/1342026-58469
124/2026,17.02.2026,https://www.president.gov.ua/documents/1242026-58461
106/2026,10.02.2026,https://www.president.gov.ua/documents/1062026-58281
107/2026,10.02.2026,https://www.president.gov.ua/documents/1072026-58285
98/2026,02.02.2026,https://www.president.gov.ua/documents/982026-58249
89/2026,30.01.2026,https://www.president.gov.ua/documents/892026-58197
74/2026,26.01.2026,https://www.president.gov.ua/documents/742026-58161
78/2026,26.01.2026,https://www.president.gov.ua/documents/782026-58177
67/2026,22.01.2026,https://www.president.gov.ua/documents/672026-58109
68/2026,22.01.2026,https://www.president.gov.ua/documents/682026-58117
69/2026,22.01.2026,https://www.president.gov.ua/documents/692026-58113
70/2026,22.01.2026,https://www.president.gov.ua/documents/702026-58121
64/2026,19.01.2026,https://www.president.gov.ua/documents/642026-58125
59/2026,16.01.2026,https://www.president.gov.ua/documents/592026-58077
54/2026,14.01.2026,https://www.president.gov.ua/documents/542026-58061
55/2026,14.01.2026,https://www.president.gov.ua/documents/552026-58065
56/2026,14.01.2026,https://www.president.gov.ua/documents/562026-58069
42/2026,12.01.2026,https://www.president.gov.ua/documents/422026-58021
2/2026,02.01.2026,https://www.president.gov.ua/documents/22026-57865
1/2026,01.01.2026,https://www.president.gov.ua/documents/12026-57857
1010/2025,30.12.2025,https://www.president.gov.ua/documents/10102025-57821
1002/2025,26.12.2025,https://www.president.gov.ua/documents/10022025-57813
995/2025,26.12.2025,https://www.president.gov.ua/documents/9952025-57861
988/2025,25.12.2025,https://www.president.gov.ua/documents/9882025-57749
989/2025,25.12.2025,https://www.president.gov.ua/documents/9892025-57753
974/2025,22.12.2025,https://www.president.gov.ua/documents/9742025-57689
975/2025,22.12.2025,https://www.president.gov.ua/documents/9752025-57697
928/2025,13.12.2025,https://www.president.gov.ua/documents/9282025-57705
923/2025,11.12.2025,https://www.president.gov.ua/documents/9232025-57477
919/2025,07.12.2025,https://www.president.gov.ua/documents/9192025-57449
917/2025,06.12.2025,https://www.president.gov.ua/documents/9172025-57445
886/2025,05.12.2025,https://www.president.gov.ua/documents/8862025-57429
900/2025,05.12.2025,https://www.president.gov.ua/documents/9002025-57461
881/2025,04.12.2025,https://www.president.gov.ua/documents/8812025-57365
882/2025,04.12.2025,https://www.president.gov.ua/documents/8822025-57377
883/2025,04.12.2025,https://www.president.gov.ua/documents/8832025-57293
885/2025,04.12.2025,https://www.president.gov.ua/documents/8852025-57313
874/2025,03.12.2025,https://www.president.gov.ua/documents/8742025-57289
875/2025,03.12.2025,https://www.president.gov.ua/documents/8752025-57297
878/2025,03.12.2025,https://www.president.gov.ua/documents/8782025-57281
873/2025,30.11.2025,https://www.president.gov.ua/documents/8732025-57269
864/2025,27.11.2025,https://www.president.gov.ua/documents/8642025-57217
855/2025,24.11.2025,https://www.president.gov.ua/documents/8552025-57181
850/2025,21.11.2025,https://www.president.gov.ua/documents/8502025-57157
851/2025,21.11.2025,https://www.president.gov.ua/documents/8512025-57165
852/2025,21.11.2025,https://www.president.gov.ua/documents/8522025-57161
848/2025,18.11.2025,https://www.president.gov.ua/documents/8482025-57145
847/2025,15.11.2025,https://www.president.gov.ua/documents/8472025-57141
844/2025,13.11.2025,https://www.president.gov.ua/documents/8442025-57117
840/2025,12.11.2025,https://www.president.gov.ua/documents/8402025-57105
841/2025,12.11.2025,https://www.president.gov.ua/documents/8412025-57109
842/2025,12.11.2025,https://www.president.gov.ua/documents/8422025-57177
839/2025,11.11.2025,https://www.president.gov.ua/documents/8392025-57101
837/2025,10.11.2025,https://www.president.gov.ua/documents/8372025-57093
838/2025,10.11.2025,https://www.president.gov.ua/documents/8382025-57089
829/2025,07.11.2025,https://www.president.gov.ua/documents/8292025-57065
830/2025,07.11.2025,https://www.president.gov.ua/documents/8302025-57097
818/2025,06.11.2025,https://www.president.gov.ua/documents/8182025-57025
821/2025,06.11.2025,https://www.president.gov.ua/documents/8212025-57017
814/2025,01.11.2025,https://www.president.gov.ua/documents/8142025-57129
809/2025,31.10.2025,https://www.president.gov.ua/documents/8092025-57001
812/2025,31.10.2025,https://www.president.gov.ua/documents/8122025-57005
802/2025,28.10.2025,https://www.president.gov.ua/documents/8022025-56941
803/2025,28.10.2025,https://www.president.gov.ua/documents/8032025-56945
804/2025,28.10.2025,https://www.president.gov.ua/documents/8042025-56949
795/2025,20.10.2025,https://www.president.gov.ua/documents/7952025-56905
774/2025,09.10.2025,https://www.president.gov.ua/documents/7742025-56849
750/2025,04.10.2025,https://www.president.gov.ua/documents/7502025-56753
742/2025,03.10.2025,https://www.president.gov.ua/documents/7422025-56721
697/2025,30.09.2025,https://www.president.gov.ua/documents/6972025-56561
698/2025,30.09.2025,https://www.president.gov.ua/documents/6982025-56565
716/2025,30.09.2025,https://www.president.gov.ua/documents/7162025-56621
721/2025,30.09.2025,https://www.president.gov.ua/documents/7212025-56641
685/2025,17.09.2025,https://www.president.gov.ua/documents/6852025-56525
686/2025,17.09.2025,https://www.president.gov.ua/documents/6862025-56529
683/2025,16.09.2025,https://www.president.gov.ua/documents/6832025-56513
682/2025,14.09.2025,https://www.president.gov.ua/documents/6822025-56481
680/2025,12.09.2025,https://www.president.gov.ua/documents/6802025-56477
681/2025,12.09.2025,https://www.president.gov.ua/documents/6812025-56469
674/2025,09.09.2025,https://www.president.gov.ua/documents/6742025-56437
672/2025,06.09.2025,https://www.president.gov.ua/documents/6722025-56425
670/2025,02.09.2025,https://www.president.gov.ua/documents/6702025-56417
667/2025,30.08.2025,https://www.president.gov.ua/documents/6672025-56401
668/2025,30.08.2025,https://www.president.gov.ua/documents/6682025-56405
616/2025,23.08.2025,https://www.president.gov.ua/documents/6162025-56337
617/2025,23.08.2025,https://www.president.gov.ua/documents/6172025-56341
623/2025,23.08.2025,https://www.president.gov.ua/documents/6232025-56201
624/2025,23.08.2025,https://www.president.gov.ua/documents/6242025-56205
609/2025,22.08.2025,https://www.president.gov.ua/documents/6092025-56209
610/2025,22.08.2025,https://www.president.gov.ua/documents/6102025-56213
604/2025,21.08.2025,https://www.president.gov.ua/documents/6042025-56169
598/2025,15.08.2025,https://www.president.gov.ua/documents/5982025-56137
590/2025,08.08.2025,https://www.president.gov.ua/documents/5902025-56109
586/2025,05.08.2025,https://www.president.gov.ua/documents/5862025-56081
582/2025,04.08.2025,https://www.president.gov.ua/documents/5822025-56077
563/2025,01.08.2025,https://www.president.gov.ua/documents/5632025-56025
565/2025,01.08.2025,https://www.president.gov.ua/documents/5652025-56065
559/2025,29.07.2025,https://www.president.gov.ua/documents/5592025-55981
560/2025,29.07.2025,https://www.president.gov.ua/documents/5602025-55985
561/2025,29.07.2025,https://www.president.gov.ua/documents/5612025-55989
550/2025,25.07.2025,https://www.president.gov.ua/documents/5502025-55945
545/2025,24.07.2025,https://www.president.gov.ua/documents/5452025-55941
540/2025,23.07.2025,https://www.president.gov.ua/documents/5402025-55889
541/2025,23.07.2025,https://www.president.gov.ua/documents/5412025-55885
542/2025,23.07.2025,https://www.president.gov.ua/documents/5422025-55937
543/2025,23.07.2025,https://www.president.gov.ua/documents/5432025-55897
503/2025,20.07.2025,https://www.president.gov.ua/documents/5032025-55733
490/2025,15.07.2025,https://www.president.gov.ua/documents/4902025-55681
480/2025,14.07.2025,https://www.president.gov.ua/documents/4802025-55661
452/2025,04.07.2025,https://www.president.gov.ua/documents/4522025-55593
453/2025,04.07.2025,https://www.president.gov.ua/documents/4532025-55545
463/2025,04.07.2025,https://www.president.gov.ua/documents/4632025-55581
447/2025,02.07.2025,https://www.president.gov.ua/documents/4472025-55533
446/2025,01.07.2025,https://www.president.gov.ua/documents/4462025-55525
424/2025,27.06.2025,https://www.president.gov.ua/documents/4242025-55497
435/2025,27.06.2025,https://www.president.gov.ua/documents/4352025-55449
436/2025,27.06.2025,https://www.president.gov.ua/documents/4362025-55457
413/2025,19.06.2025,https://www.president.gov.ua/documents/4132025-55389
411/2025,14.06.2025,https://www.president.gov.ua/documents/4112025-55381
409/2025,13.06.2025,https://www.president.gov.ua/documents/4092025-55369
410/2025,13.06.2025,https://www.president.gov.ua/documents/4102025-55373
394/2025,09.06.2025,https://www.president.gov.ua/documents/3942025-55309
391/2025,06.06.2025,https://www.president.gov.ua/documents/3912025-55293
392/2025,06.06.2025,https://www.president.gov.ua/documents/3922025-55305
393/2025,06.06.2025,https://www.president.gov.ua/documents/3932025-55313
357/2025,30.05.2025,https://www.president.gov.ua/documents/3572025-55153
358/2025,30.05.2025,https://www.president.gov.ua/documents/3582025-55157
352/2025,27.05.2025,https://www.president.gov.ua/documents/3522025-55129
351/2025,26.05.2025,https://www.president.gov.ua/documents/3512025-55113
313/2025,23.05.2025,https://www.president.gov.ua/documents/3132025-55061
310/2025,20.05.2025,https://www.president.gov.ua/documents/3102025-54909
309/2025,19.05.2025,https://www.president.gov.ua/documents/3092025-54925
307/2025,15.05.2025,https://www.president.gov.ua/documents/3072025-54901
302/2025,12.05.2025,https://www.president.gov.ua/documents/3022025-54865
286/2025,07.05.2025,https://www.president.gov.ua/documents/2862025-54797
287/2025,07.05.2025,https://www.president.gov.ua/documents/2872025-54801
270/2025,01.05.2025,https://www.president.gov.ua/documents/2702025-54737
271/2025,01.05.2025,https://www.president.gov.ua/documents/2712025-54749
252/2025,29.04.2025,https://www.president.gov.ua/documents/2522025-54701
237/2025,16.04.2025,https://www.president.gov.ua/documents/2372025-54537
238/2025,16.04.2025,https://www.president.gov.ua/documents/2382025-54541
233/2025,14.04.2025,https://www.president.gov.ua/documents/2332025-54489
234/2025,14.04.2025,https://www.president.gov.ua/documents/2342025-54477
223/2025,09.04.2025,https://www.president.gov.ua/documents/2232025-54421
204/2025,01.04.2025,https://www.president.gov.ua/documents/2042025-54337
205/2025,01.04.2025,https://www.president.gov.ua/documents/2052025-54333
202/2025,31.03.2025,https://www.president.gov.ua/documents/2022025-54325
203/2025,31.03.2025,https://www.president.gov.ua/documents/2032025-54321
200/2025,27.03.2025,https://www.president.gov.ua/documents/2002025-54313
175/2025,24.03.2025,https://www.president.gov.ua/documents/1752025-54261
173/2025,21.03.2025,https://www.president.gov.ua/documents/1732025-54165
172/2025,17.03.2025,https://www.president.gov.ua/documents/1722025-54161
162/2025,14.03.2025,https://www.president.gov.ua/documents/1622025-54105
160/2025,13.03.2025,https://www.president.gov.ua/documents/1602025-54093
161/2025,13.03.2025,https://www.president.gov.ua/documents/1612025-54097
157/2025,08.03.2025,https://www.president.gov.ua/documents/1572025-54081
152/2025,05.03.2025,https://www.president.gov.ua/documents/1522025-54061
145/2025,26.02.2025,https://www.president.gov.ua/documents/1452025-54029
150/2025,26.02.2025,https://www.president.gov.ua/documents/1502025-54049
122/2025,23.02.2025,https://www.president.gov.ua/documents/1222025-53821
88/2025,20.02.2025,https://www.president.gov.ua/documents/882025-53933
90/2025,20.02.2025,https://www.president.gov.ua/documents/902025-53809
91/2025,20.02.2025,https://www.president.gov.ua/documents/912025-53813
92/2025,20.02.2025,https://www.president.gov.ua/documents/922025-53817
64/2025,05.02.2025,https://www.president.gov.ua/documents/642025-53737
62/2025,04.02.2025,https://www.president.gov.ua/documents/622025-53709
60/2025,29.01.2025,https://www.president.gov.ua/documents/602025-53681
39/2025,20.01.2025,https://www.president.gov.ua/documents/392025-53661
55/2025,20.01.2025,https://www.president.gov.ua/documents/552025-53605
37/2025,18.01.2025,https://www.president.gov.ua/documents/372025-53601
35/2025,16.01.2025,https://www.president.gov.ua/documents/352025-53593
28/2025,14.01.2025,https://www.president.gov.ua/documents/282025-53557
29/2025,14.01.2025,https://www.president.gov.ua/documents/292025-53553
890/2024,31.12.2024,https://www.president.gov.ua/documents/8902024-53337
891/2024,31.12.2024,https://www.president.gov.ua/documents/8912024-53329
882/2024,26.12.2024,https://www.president.gov.ua/documents/8822024-53325
880/2024,25.12.2024,https://www.president.gov.ua/documents/8802024-53305
859/2024,20.12.2024,https://www.president.gov.ua/documents/8592024-53301
858/2024,19.12.2024,https://www.president.gov.ua/documents/8582024-53313
855/2024,13.12.2024,https://www.president.gov.ua/documents/8552024-53201
842/2024,11.12.2024,https://www.president.gov.ua/documents/8422024-53141
843/2024,11.12.2024,https://www.president.gov.ua/documents/8432024-53145
836/2024,06.12.2024,https://www.president.gov.ua/documents/8362024-53097
837/2024,06.12.2024,https://www.president.gov.ua/documents/8372024-53105
801/2024,04.12.2024,https://www.president.gov.ua/documents/8012024-53125
798/2024,03.12.2024,https://www.president.gov.ua/documents/7982024-53017
797/2024,02.12.2024,https://www.president.gov.ua/documents/7972024-52929
794/2024,01.12.2024,https://www.president.gov.ua/documents/7942024-52925
795/2024,01.12.2024,https://www.president.gov.ua/documents/7952024-52917
787/2024,27.11.2024,https://www.president.gov.ua/documents/7872024-52873
785/2024,26.11.2024,https://www.president.gov.ua/documents/7852024-52941
773/2024,19.11.2024,https://www.president.gov.ua/documents/7732024-52805
770/2024,18.11.2024,https://www.president.gov.ua/documents/7702024-52781
771/2024,18.11.2024,https://www.president.gov.ua/documents/7712024-52785
772/2024,18.11.2024,https://www.president.gov.ua/documents/7722024-52797
765/2024,15.11.2024,https://www.president.gov.ua/documents/7652024-52773
766/2024,15.11.2024,https://www.president.gov.ua/documents/7662024-52777
767/2024,15.11.2024,https://www.president.gov.ua/documents/7672024-52765
759/2024,11.11.2024,https://www.president.gov.ua/documents/7592024-52741
760/2024,11.11.2024,https://www.president.gov.ua/documents/7602024-52737
752/2024,07.11.2024,https://www.president.gov.ua/documents/7522024-52705
749/2024,04.11.2024,https://www.president.gov.ua/documents/7492024-52653
747/2024,01.11.2024,https://www.president.gov.ua/documents/7472024-52637
743/2024,31.10.2024,https://www.president.gov.ua/documents/7432024-52633
742/2024,28.10.2024,https://www.president.gov.ua/documents/7422024-52625
734/2024,23.10.2024,https://www.president.gov.ua/documents/7342024-52585
730/2024,21.10.2024,https://www.president.gov.ua/documents/7302024-52545
731/2024,21.10.2024,https://www.president.gov.ua/documents/7312024-52561
729/2024,18.10.2024,https://www.president.gov.ua/documents/7292024-53013
702/2024,16.10.2024,https://www.president.gov.ua/documents/7022024-52433
704/2024,16.10.2024,https://www.president.gov.ua/documents/7042024-52445
701/2024,14.10.2024,https://www.president.gov.ua/documents/7012024-52417
689/2024,04.10.2024,https://www.president.gov.ua/documents/6892024-52385
684/2024,03.10.2024,https://www.president.gov.ua/documents/6842024-52361
685/2024,03.10.2024,https://www.president.gov.ua/documents/6852024-52373
686/2024,03.10.2024,https://www.president.gov.ua/documents/6862024-52377
648/2024,30.09.2024,https://www.president.gov.ua/documents/6482024-52221
649/2024,30.09.2024,https://www.president.gov.ua/documents/6492024-52201
650/2024,30.09.2024,https://www.president.gov.ua/documents/6502024-52205
641/2024,20.09.2024,https://www.president.gov.ua/documents/6412024-52177
635/2024,18.09.2024,https://www.president.gov.ua/documents/6352024-52161
634/2024,17.09.2024,https://www.president.gov.ua/documents/6342024-52129
631/2024,16.09.2024,https://www.president.gov.ua/documents/6312024-52141
633/2024,16.09.2024,https://www.president.gov.ua/documents/6332024-52133
630/2024,14.09.2024,https://www.president.gov.ua/documents/6302024-52125
629/2024,13.09.2024,https://www.president.gov.ua/documents/6292024-52121
624/2024,09.09.2024,https://www.president.gov.ua/documents/6242024-52097
611/2024,05.09.2024,https://www.president.gov.ua/documents/6112024-52045
599/2024,30.08.2024,https://www.president.gov.ua/documents/5992024-52025
513/2024,23.08.2024,https://www.president.gov.ua/documents/5132024-51865
514/2024,23.08.2024,https://www.president.gov.ua/documents/5142024-51677
515/2024,23.08.2024,https://www.president.gov.ua/documents/5152024-51885
516/2024,23.08.2024,https://www.president.gov.ua/documents/5162024-51869
573/2024,23.08.2024,https://www.president.gov.ua/documents/5732024-51889
576/2024,23.08.2024,https://www.president.gov.ua/documents/5762024-51873
505/2024,16.08.2024,https://www.president.gov.ua/documents/5052024-51645
503/2024,12.08.2024,https://www.president.gov.ua/documents/5032024-51881
502/2024,09.08.2024,https://www.president.gov.ua/documents/5022024-51617
501/2024,07.08.2024,https://www.president.gov.ua/documents/5012024-51613
493/2024,02.08.2024,https://www.president.gov.ua/documents/4932024-51569
500/2024,02.08.2024,https://www.president.gov.ua/documents/5002024-51565
489/2024,27.07.2024,https://www.president.gov.ua/documents/4892024-51553
478/2024,26.07.2024,https://www.president.gov.ua/documents/4782024-51493
479/2024,26.07.2024,https://www.president.gov.ua/documents/4792024-51485
480/2024,26.07.2024,https://www.president.gov.ua/documents/4802024-51533
481/2024,26.07.2024,https://www.president.gov.ua/documents/4812024-51529
482/2024,26.07.2024,https://www.president.gov.ua/documents/4822024-51489
488/2024,26.07.2024,https://www.president.gov.ua/documents/4882024-51525
473/2024,25.07.2024,https://www.president.gov.ua/documents/4732024-51481
466/2024,17.07.2024,https://www.president.gov.ua/documents/4662024-51409
465/2024,16.07.2024,https://www.president.gov.ua/documents/4652024-51453
455/2024,05.07.2024,https://www.president.gov.ua/documents/4552024-51389
410/2024,04.07.2024,https://www.president.gov.ua/documents/4102024-51365
405/2024,03.07.2024,https://www.president.gov.ua/documents/4052024-51193
383/2024,28.06.2024,https://www.president.gov.ua/documents/3832024-51113
401/2024,28.06.2024,https://www.president.gov.ua/documents/4012024-51109
379/2024,25.06.2024,https://www.president.gov.ua/documents/3792024-51105
381/2024,25.06.2024,https://www.president.gov.ua/documents/3812024-51089
378/2024,24.06.2024,https://www.president.gov.ua/documents/3782024-51069
370/2024,21.06.2024,https://www.president.gov.ua/documents/3702024-51013
371/2024,21.06.2024,https://www.president.gov.ua/documents/3712024-51017
357/2024,19.06.2024,https://www.president.gov.ua/documents/3572024-50997
358/2024,19.06.2024,https://www.president.gov.ua/documents/3582024-51001
356/2024,18.06.2024,https://www.president.gov.ua/documents/3562024-50993
351/2024,17.06.2024,https://www.president.gov.ua/documents/3512024-50909
352/2024,17.06.2024,https://www.president.gov.ua/documents/3522024-50925
353/2024,17.06.2024,https://www.president.gov.ua/documents/3532024-50973
354/2024,17.06.2024,https://www.president.gov.ua/documents/3542024-50969
347/2024,07.06.2024,https://www.president.gov.ua/documents/3472024-50965
346/2024,04.06.2024,https://www.president.gov.ua/documents/3462024-50945
343/2024,23.05.2024,https://www.president.gov.ua/documents/3432024-50901
339/2024,22.05.2024,https://www.president.gov.ua/documents/3392024-50881
338/2024,18.05.2024,https://www.president.gov.ua/documents/3382024-50873
334/2024,17.05.2024,https://www.president.gov.ua/documents/3342024-50853
335/2024,17.05.2024,https://www.president.gov.ua/documents/3352024-50857
336/2024,17.05.2024,https://www.president.gov.ua/documents/3362024-50845
337/2024,17.05.2024,https://www.president.gov.ua/documents/3372024-50841
325/2024,15.05.2024,https://www.president.gov.ua/documents/3252024-50837
321/2024,13.05.2024,https://www.president.gov.ua/documents/3212024-50797
322/2024,13.05.2024,https://www.president.gov.ua/documents/3222024-50801
323/2024,13.05.2024,https://www.president.gov.ua/documents/3232024-50793
270/2024,03.05.2024,https://www.president.gov.ua/documents/2702024-50593
269/2024,02.05.2024,https://www.president.gov.ua/documents/2692024-50573
256/2024,01.05.2024,https://www.president.gov.ua/documents/2562024-50525
255/2024,30.04.2024,https://www.president.gov.ua/documents/2552024-50489
247/2024,29.04.2024,https://www.president.gov.ua/documents/2472024-50589
248/2024,29.04.2024,https://www.president.gov.ua/documents/2482024-50497
241/2024,25.04.2024,https://www.president.gov.ua/documents/2412024-50469
242/2024,25.04.2024,https://www.president.gov.ua/documents/2422024-50461
236/2024,23.04.2024,https://www.president.gov.ua/documents/2362024-50409
237/2024,23.04.2024,https://www.president.gov.ua/documents/2372024-50401
238/2024,23.04.2024,https://www.president.gov.ua/documents/2382024-50405
233/2024,18.04.2024,https://www.president.gov.ua/documents/2332024-50421
231/2024,17.04.2024,https://www.president.gov.ua/documents/2312024-50397
224/2024,10.04.2024,https://www.president.gov.ua/documents/2242024-50373
222/2024,08.04.2024,https://www.president.gov.ua/documents/2222024-50337
223/2024,08.04.2024,https://www.president.gov.ua/documents/2232024-50369
221/2024,07.04.2024,https://www.president.gov.ua/documents/2212024-50357
216/2024,04.04.2024,https://www.president.gov.ua/documents/2162024-50341
217/2024,04.04.2024,https://www.president.gov.ua/documents/2172024-50349
215/2024,03.04.2024,https://www.president.gov.ua/documents/2152024-50321
191/2024,29.03.2024,https://www.president.gov.ua/documents/1912024-50285
182/2024,26.03.2024,https://www.president.gov.ua/documents/1822024-50221
183/2024,26.03.2024,https://www.president.gov.ua/documents/1832024-52053
184/2024,26.03.2024,https://www.president.gov.ua/documents/1842024-50165
171/2024,25.03.2024,https://www.president.gov.ua/documents/1712024-50169
176/2024,25.03.2024,https://www.president.gov.ua/documents/1762024-50217
166/2024,22.03.2024,https://www.president.gov.ua/documents/1662024-50129
162/2024,20.03.2024,https://www.president.gov.ua/documents/1622024-50117
163/2024,20.03.2024,https://www.president.gov.ua/documents/1632024-50133
160/2024,19.03.2024,https://www.president.gov.ua/documents/1602024-50109
156/2024,14.03.2024,https://www.president.gov.ua/documents/1562024-50097
